ID,city,area,rooms,bathroom,parking,floor,animal,furniture,hoa,rentAmount,propertyTax,fireInsurance
26,1,105,4,2,2,3,acept,not furnished,"R$1,659","R$6,500",R$400,R$83
27,1,300,3,4,2,9,acept,furnished,"R$2,000","R$14,000","R$1,084",R$178
28,0,150,3,2,2,13,acept,not furnished,"R$1,370","R$1,800",R$250,R$23
29,1,130,3,3,2,-,acept,not furnished,R$0,"R$6,000",R$84,R$91
30,1,70,2,1,0,1,acept,not furnished,R$521,"R$3,000",R$50,R$39
31,1,120,3,1,4,-,acept,not furnished,R$0,"R$3,500",R$234,R$53
32,1,250,3,4,2,-,acept,not furnished,R$300,"R$3,480",R$360,R$53
33,1,50,1,1,0,1,acept,not furnished,R$325,"R$1,550",R$25,R$20
34,1,240,3,3,3,3,acept,not furnished,"R$4,132","R$3,800",R$952,R$49
35,1,250,4,4,2,-,not acept,not furnished,Sem info,"R$6,600",R$0,R$100
36,0,94,3,3,2,1,acept,not furnished,R$750,"R$2,200",R$192,R$28
37,1,176,3,4,3,4,acept,not furnished,"R$1,600","R$6,500",R$775,R$83
38,1,180,3,4,5,-,acept,not furnished,Sem info,"R$3,300",R$266,R$50
39,1,191,3,3,4,1,acept,furnished,"R$2,605","R$15,000","R$1,299",R$191
40,1,25,1,1,0,14,acept,not furnished,R$257,"R$1,698",R$0,R$22
41,1,800,4,5,4,9,acept,not furnished,"R$6,000","R$15,000","R$3,334",R$191
42,1,340,3,4,3,-,acept,furnished,R$0,"R$9,800",R$392,R$148
43,1,90,2,1,0,-,not acept,not furnished,R$0,"R$1,450",R$50,R$22
44,0,650,5,4,8,-,acept,furnished,R$0,"R$8,500",R$442,R$128
45,1,100,2,2,0,1,acept,not furnished,R$0,"R$2,700",R$265,R$35
46,1,230,4,4,4,1,acept,furnished,"R$2,300","R$13,500","R$1,084",R$172
47,1,190,2,3,2,-,acept,not furnished,R$0,"R$13,050","R$1,284",R$197
48,1,205,4,4,6,5,acept,not furnished,"R$2,450","R$2,720",R$959,R$35
49,1,96,3,3,2,8,acept,not furnished,R$866,"R$1,790",R$90,R$23
50,1,396,4,4,4,-,acept,not furnished,R$0,"R$10,000",R$750,R$151
51,0,74,3,2,1,7,acept,not furnished,R$650,"R$1,600",R$250,R$21
52,0,30,1,1,0,5,not acept,furnished,R$380,R$500,R$10,R$7
53,1,64,3,2,1,7,acept,not furnished,R$522,"R$1,400",R$65,R$18
54,1,105,3,2,2,1,acept,furnished,"R$1,544","R$7,800",R$488,R$99
55,1,50,1,2,1,10,acept,furnished,"R$1,050","R$5,900",R$259,R$75
56,1,60,2,1,0,3,not acept,not furnished,R$400,"R$1,300",R$0,R$17
57,1,50,2,1,1,6,acept,furnished,R$585,"R$2,000",R$49,R$26
58,1,90,2,2,0,-,acept,not furnished,R$0,"R$1,700",R$38,R$26
59,1,130,3,2,1,8,not acept,furnished,"R$1,200","R$7,500",R$417,R$96
60,1,20,1,1,0,1,not acept,furnished,Incluso,"R$1,950",R$0,R$25
61,1,400,4,3,2,-,acept,not furnished,R$0,"R$5,650",R$338,R$85
62,1,220,3,3,5,-,acept,not furnished,R$0,"R$7,500",R$0,R$113
63,1,750,7,6,5,-,acept,furnished,R$0,"R$5,800",R$559,R$88
64,1,20,1,1,0,-,acept,furnished,R$602,"R$1,800",R$130,R$23
65,0,140,3,2,2,15,not acept,not furnished,R$998,"R$2,100",R$283,R$27
66,1,22,1,1,0,-,not acept,not furnished,R$250,"R$1,080",R$14,R$14
67,1,345,2,3,2,4,not acept,not furnished,"R$3,655","R$12,000",R$783,R$153
68,0,46,2,1,1,3,not acept,not furnished,R$250,"R$1,100",R$53,R$5
69,1,35,1,1,1,2,not acept,furnished,R$550,"R$3,250",R$30,R$42
70,0,72,2,2,1,2,acept,not furnished,R$500,"R$1,200",R$97,R$16
71,1,60,1,1,2,2,not acept,not furnished,"R$3,398","R$1,900",R$288,R$25
72,1,180,3,2,4,-,not acept,furnished,R$0,"R$11,000",R$667,R$166
73,1,83,3,2,1,9,not acept,furnished,R$805,"R$3,300",R$80,R$42
74,1,50,1,1,0,1,acept,not furnished,R$519,"R$1,550",R$28,R$20
75,1,38,1,1,1,14,not acept,furnished,"R$1,620","R$3,020",R$279,R$39
76,1,140,3,3,2,2,acept,not furnished,"R$1,300","R$2,800",R$292,R$36
77,0,62,2,1,1,3,acept,not furnished,R$485,R$980,R$48,R$13
78,1,70,1,1,0,2,acept,furnished,"R$1,500","R$4,000",R$284,R$51
79,0,55,1,1,0,14,acept,not furnished,R$600,"R$1,100",R$60,R$14
80,0,60,2,1,1,1,not acept,not furnished,R$430,R$815,R$20,R$6
81,1,85,2,2,1,6,acept,not furnished,"R$1,250","R$1,738",R$261,R$23
82,1,134,3,3,3,11,not acept,not furnished,"R$1,655","R$8,000",R$380,R$102
83,1,200,3,2,2,19,acept,not furnished,"R$2,573","R$10,000","R$1,121",R$127
84,1,170,3,2,2,-,acept,furnished,R$0,"R$3,900",R$267,R$59
85,1,46,1,1,2,16,acept,furnished,"R$2,210","R$6,220",R$255,R$79
86,1,20,1,1,0,4,acept,furnished,R$602,"R$1,800",R$130,R$23
87,1,58,2,2,1,5,not acept,furnished,"R$1,000","R$4,500",R$144,R$58
88,1,96,3,2,3,4,acept,not furnished,"R$1,024","R$2,350",R$313,R$30
89,1,190,3,3,3,6,acept,not furnished,"R$3,000","R$13,000",R$84,R$165
90,1,87,3,2,4,14,acept,not furnished,R$800,"R$2,000",R$67,R$26
91,1,42,1,1,0,5,acept,not furnished,R$350,"R$2,400",R$94,R$31
92,1,145,3,3,1,10,acept,furnished,"R$1,380","R$11,000",R$375,R$140
93,1,250,4,6,4,12,not acept,not furnished,"R$3,000","R$14,500",R$875,R$184
94,1,90,2,1,1,1,acept,not furnished,"R$1,000","R$3,000",R$50,R$39
95,1,250,6,2,2,-,acept,not furnished,R$0,"R$2,472",R$26,R$38
96,1,500,3,4,5,-,acept,furnished,R$0,"R$7,620","R$1,094",R$115
97,1,80,2,2,2,6,acept,furnished,"R$1,581","R$8,800",R$112,R$112
98,0,120,3,2,3,-,acept,not furnished,R$0,"R$2,500",R$180,R$38
99,0,265,3,3,2,-,acept,not furnished,R$0,"R$2,400",R$140,R$37
100,0,50,2,1,1,4,acept,not furnished,R$330,"R$1,080",R$0,R$14
101,0,126,3,3,2,1,acept,not furnished,R$780,"R$3,800",R$167,R$49
102,0,55,2,1,1,1,acept,not furnished,R$390,R$720,R$0,R$10
103,1,29,1,1,1,20,acept,furnished,R$700,"R$2,700",R$84,R$35
104,1,59,2,1,1,24,acept,not furnished,R$514,"R$2,450",R$138,R$32
105,1,200,2,4,4,4,acept,not furnished,"R$2,450","R$7,800","R$1,417",R$99
106,1,74,3,2,1,7,acept,not furnished,R$577,"R$2,196",R$100,R$28
107,1,290,4,5,2,6,acept,not furnished,"R$4,300","R$10,000",R$875,R$127
108,1,172,3,4,3,1,acept,not furnished,"R$1,596","R$8,000",R$820,R$102
109,1,25,1,1,0,5,not acept,furnished,R$270,"R$2,600",R$67,R$33
110,1,50,1,1,1,-,acept,not furnished,R$0,"R$1,100",R$0,R$17
111,1,40,1,1,0,3,acept,not furnished,R$300,"R$1,100",R$0,R$14
112,1,80,2,2,2,-,acept,not furnished,R$0,"R$2,465",R$0,R$38
113,1,280,6,6,3,-,acept,not furnished,R$0,"R$5,000","R$1,118",R$76
114,1,60,1,1,1,12,acept,furnished,R$850,"R$4,723",R$0,R$18
115,1,115,2,3,2,8,acept,not furnished,"R$1,380","R$12,000",R$790,R$153
116,1,540,3,3,4,9,acept,not furnished,"R$6,200","R$15,000","R$3,500",R$191
117,1,76,2,1,1,12,not acept,furnished,R$906,"R$4,250",R$217,R$54
118,0,150,4,5,2,1,acept,not furnished,"R$1,100","R$2,980",R$360,R$38
119,1,130,3,2,1,8,acept,not furnished,"R$2,400","R$5,500",R$209,R$70
120,0,64,2,1,1,-,acept,not furnished,R$441,R$730,R$18,R$10
121,1,55,2,2,1,2,acept,not furnished,R$420,"R$1,300",R$50,R$17
122,1,50,1,1,0,1,acept,not furnished,R$600,"R$1,300",R$0,R$17
123,1,120,2,3,2,20,acept,not furnished,"R$2,000","R$7,000",R$180,R$89
124,0,236,3,4,4,10,acept,not furnished,"R$1,600","R$11,000",R$440,R$140
125,0,30,1,1,0,4,acept,not furnished,R$336,R$550,R$10,R$7
126,0,270,3,3,0,-,acept,furnished,R$0,"R$8,000",R$500,R$121
127,0,48,1,1,0,9,acept,not furnished,R$350,R$670,R$21,R$9
128,0,198,6,3,4,-,acept,not furnished,R$0,"R$2,000",R$145,R$31
129,1,50,1,1,0,-,acept,not furnished,R$0,"R$1,080",R$59,R$17
130,1,185,3,3,3,20,acept,not furnished,"R$2,670","R$5,600",R$907,R$71
131,1,440,4,4,4,-,acept,not furnished,R$0,"R$12,000","R$2,500",R$181
132,0,119,3,2,2,7,acept,not furnished,"R$1,650","R$1,200",R$212,R$16
